id_cliente,ocupacion,num_dependientes,region
313,Desempleado,3,Norte
314,Empleado,1,Oeste
315,Jubilado,2,Este
316,Autónomo,2,Este
317,Jubilado,4,Este
318,Jubilado,4,Este
319,Jubilado,0,Sur
320,Desempleado,0,Oeste
321,Empleado,0,Norte
322,Empleado,4,Norte
323,Desempleado,4,Sur
324,Desempleado,4,Oeste
325,Empleado,2,Este
326,Jubilado,4,Sur
327,Autónomo,2,Oeste
328,Autónomo,0,Este
329,Autónomo,0,Sur
330,Jubilado,0,Oeste
331,Empleado,1,Norte
332,Desempleado,1,Norte
333,Empleado,3,Oeste
334,Jubilado,3,Norte
335,Desempleado,3,Oeste
336,Jubilado,1,Este
337,Autónomo,1,Oeste
338,Autónomo,3,Este
339,Jubilado,3,Sur
340,Desempleado,4,Oeste
341,Desempleado,3,Sur
342,Empleado,4,Norte
343,Autónomo,2,Este
344,Empleado,1,Oeste
345,Empleado,3,Sur
346,Jubilado,1,Este
347,Jubilado,1,Este
348,Empleado,1,Norte
349,Autónomo,2,Norte
350,Jubilado,0,Este
351,Empleado,3,Este
352,Empleado,0,Oeste
353,Empleado,0,Este
354,Empleado,0,Oeste
355,Empleado,1,Este
356,Empleado,4,Norte
357,Jubilado,1,Oeste
358,Autónomo,1,Sur
359,Empleado,0,Norte
360,Desempleado,1,Oeste
361,Jubilado,0,Oeste
362,Jubilado,4,Sur
363,Empleado,3,Oeste
364,Jubilado,0,Este
365,Empleado,4,Sur
366,Autónomo,3,Norte
367,Autónomo,2,Norte
368,Jubilado,0,Este
369,Jubilado,0,Norte
370,Desempleado,2,Oeste
371,Jubilado,2,Oeste
372,Desempleado,0,Este
373,Autónomo,2,Norte
374,Autónomo,1,Norte
375,Empleado,3,Este
376,Autónomo,3,Sur
377,Desempleado,3,Norte
378,Jubilado,1,Sur
379,Empleado,2,Norte
380,Desempleado,4,Norte
381,Jubilado,2,Norte
382,Empleado,0,Norte
383,Autónomo,3,Oeste
384,Desempleado,2,Sur
385,Jubilado,4,Sur
386,Empleado,0,Norte
387,Empleado,1,Norte
388,Autónomo,1,Sur
389,Jubilado,4,Oeste
390,Autónomo,0,Este
391,Autónomo,3,Este
392,Jubilado,2,Sur
393,Jubilado,0,Norte
394,Jubilado,1,Norte
395,Desempleado,4,Oeste
396,Jubilado,4,Este
397,Empleado,2,Oeste
398,Autónomo,4,Este
399,Desempleado,4,Sur
400,Jubilado,0,Este
401,Desempleado,3,Oeste
402,Jubilado,2,Oeste
403,Desempleado,0,Oeste
404,Autónomo,3,Sur
405,Autónomo,0,Este
406,Empleado,0,Este
407,Empleado,4,Oeste
408,Jubilado,3,Este
409,Autónomo,2,Norte
410,Desempleado,2,Norte
411,Desempleado,3,Norte
412,Desempleado,4,Este
413,Empleado,1,Sur
414,Desempleado,0,Sur
415,Empleado,4,Sur
416,Empleado,3,Sur
417,Jubilado,0,Norte
418,Desempleado,2,Norte
419,Desempleado,1,Oeste
420,Autónomo,2,Este
421,Jubilado,3,Este
422,Autónomo,0,Sur
423,Jubilado,3,Norte
424,Desempleado,0,Sur
425,Empleado,4,Oeste
426,Empleado,1,Este
427,Empleado,4,Este
428,Empleado,4,Sur
429,Empleado,3,Oeste
430,Autónomo,1,Este
431,Jubilado,0,Oeste
432,Desempleado,0,Oeste
433,Autónomo,2,Sur
434,Jubilado,0,Norte
435,Empleado,3,Sur
436,Jubilado,4,Norte
437,Jubilado,4,Oeste
438,Empleado,4,Norte
439,Empleado,1,Oeste
440,Empleado,0,Este
441,Desempleado,3,Este
442,Empleado,1,Este
443,Desempleado,2,Sur
444,Empleado,3,Sur
445,Desempleado,3,Oeste
446,Jubilado,3,Este
447,Autónomo,4,Sur
448,Jubilado,3,Este
449,Jubilado,0,Sur
450,Empleado,3,Norte
451,Desempleado,4,Norte
452,Autónomo,3,Este
453,Empleado,2,Oeste
454,Empleado,2,Sur
455,Empleado,4,Sur
456,Jubilado,0,Norte
457,Desempleado,0,Norte
458,Desempleado,1,Oeste
459,Autónomo,4,Oeste
460,Desempleado,3,Oeste
461,Desempleado,4,Este
462,Empleado,1,Norte
463,Empleado,4,Este
464,Jubilado,4,Norte
465,Empleado,1,Norte
466,Empleado,0,Sur
467,Empleado,3,Norte
468,Empleado,1,Norte
469,Jubilado,2,Este
470,Empleado,0,Norte
471,Autónomo,2,Este
472,Autónomo,0,Oeste
473,Autónomo,3,Norte
474,Autónomo,3,Norte
475,Empleado,4,Este
476,Autónomo,2,Oeste
477,Empleado,0,Sur
478,Jubilado,3,Oeste
479,Autónomo,1,Este
480,Desempleado,3,Oeste
481,Autónomo,1,Este
482,Autónomo,0,Este
483,Empleado,3,Sur
484,Autónomo,3,Norte
485,Desempleado,0,Este
486,Empleado,3,Este
487,Empleado,1,Sur
488,Jubilado,3,Este
489,Jubilado,2,Norte
490,Autónomo,4,Sur
491,Jubilado,1,Norte
492,Jubilado,2,Norte
493,Jubilado,0,Sur
494,Empleado,1,Este
495,Empleado,4,Norte
496,Empleado,4,Norte
497,Jubilado,0,Norte
498,Empleado,0,Norte
499,Jubilado,1,Sur
500,Empleado,3,Sur
